show_id|IMDB_id|type|title|release_year|rating|popularity|genres|PG|duration|seasons|director|date_added|country|cast|description
80211623|tt4180560|Movie|Otherhood|2019|6.1|9146|Comedies|R|101|||August 2, 2019|United Kingdom, United States||Feeling forgotten on Mother's Day, three best friends leave the suburbs and drive to New York City to surprise their adult sons.
81155803|tt1012176|Movie|Uriyadi 2|2019|7.2|687|Dramas, International Movies|TV-MA|116||Vijay Kumar|August 2, 2019|India|Vijay Kumar, Vismaya, Shankar Thas, Abbas, Sudhakar, Durai Ramesh|When a chemical plant's poor conditions cause tragedies, an employee leads a protest against the company’s callous owner and local politicians.
70139075|tt1629376|Movie|7 Khoon Maaf|2011|6.1|5492|Dramas, International Movies, Thrillers|TV-MA|148||Vishal Bhardwaj|August 2, 2018|India|Priyanka Chopra, Neil Nitin Mukesh, John Abraham, Irrfan Khan, Aleksandr Dyachenko, Annu Kapoor, Naseeruddin Shah, Vivaan Shah, Usha Uthup, Konkona Sen Sharma|Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed.
70139072|tt1841542|Movie|Chillar Party|2011|7.4|7089|Children & Family Movies, Comedies, Dramas|TV-PG|127||Vikas Bahl, Nitesh Tiwari|August 2, 2018|India|Irfan Khan, Raju, Sanath Menon, Rohan Grover, Naman Jain, Aarav Khanna, Vishesh Tiwari, Chinmai Chandranshuh, Vedant Desai, Shriya Sharma, Divji Handa|Eight feisty boys befriend young drifter Fatka. When a mean politician threatens Fatka's way of life, the boys band together in honor of their pal.
70267490||Movie|Concussion|2013|||Dramas, Independent Movies, LGBTQ Movies|R|96||Stacie Passon|August 2, 2018|United States|Robin Weigert, Maggie Siff, Johnathan Tchaikovsky, Ben Shenkman, Janel Moloney, Emily Kinney|A lesbian housewife, feeling trapped in a stale marriage, begins visiting female prostitutes and soon seeks excitement by becoming a sex worker.
80087354||Movie|Emelie|2016|||Horror Movies, Thrillers|TV-MA|82||Michael Thelin|August 2, 2018|United States|Sarah Bolger, Joshua Rush, Carly Adams, Thomas Bair, Susan Pourfar, Chris Beetem|A suburban couple hires a new sitter to watch their three kids for the night, unaware that the young woman isn't who she claims to be.
70111162|tt0964516|Movie|Fashion|2008|6.9|11648|Dramas, International Movies|TV-MA|158||Madhur Bhandarkar|August 2, 2018|India|Priyanka Chopra, Kangana Ranaut, Mugdha Godse, Arbaaz Khan, Arjan Bajwa, Raj Babbar, Kiran Juneja, Samir Soni|A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds there's a price for her glamorous new life.
80099083|tt4399594|Movie|Fitoor|2016|5.4|4393|Dramas, International Movies, Romantic Movies|TV-14|124||Abhishek Kapoor|August 2, 2018|India|Aditya Roy Kapoor, Katrina Kaif, Tabu, Rahul Bhatt, Lara Dutta, Akshay Oberoi, Aditi Rao Hydari, Ajay Devgn|A young artist falls for an aristocratic young woman whose bitter mother has trained her in the art of breaking hearts.
60003290|tt0248012|Movie|Fiza|2000|6.1|3813|Dramas, International Movies, Music & Musicals|TV-14|163||Khalid Mohamed|August 2, 2018|India|Karisma Kapoor, Jaya Bhaduri, Hrithik Roshan, Neha, Asha Sachdev, Bikram Saluja, Isha Koppikar, Johny Lever, Sushmita Sen, Manoj Bajpayee|Fiza's brother disappears during Mumbai's horrifying 1993 riots. Each day, Fiza and her widowed mother hope that he will return.
80227672|tt8788634|Movie|Forever Chape|2018|7.2|247|Documentaries, International Movies, Sports Movies|TV-14|74||Luis Ara|August 2, 2018|Uruguay||In the wake of the plane crash that claimed the lives of 71 people, the Brazilian soccer club Chapecoense seeks to rebuild the team that made history.
