|IMDB_titleID|category|title|release_year|seasons|movie_duration|average_rating|number_rating|director|casting|country|date_added|parental_guideline|listed_in|summary
5105|/title/tt3621796/|TV Show|Fate/stay night: Unlimited Blade Works|2015|2||8.0|5113||Noriaki Sugiyama, Kana Ueda, Ayako Kawasumi, Junichi Suwabe, Noriko Shitaya, Mai Kadowaki, Masaki Terasoma, Nobutoshi Canna, Atsuko Tanaka, Shinichiro Miki, Yuu Asakawa, Miki Ito, Hiroshi Kamiya, Jouji Nakata, Tomokazu Seki|Japan| December 20, 2018|TV-MA|Anime Series, International TV Shows|High school students Rin and Shiro pair up as allies when they're chosen to compete in a secret tournament for possession of the Holy Grail.
5106|/title/tt3397884/|TV Show|Borderline|2017|2||7.6|344223||David Avery, Jackie Clune, David Elms, Liz Kingsman, Jamie Michie|United Kingdom| December 2, 2017|TV-14|British TV Shows, TV Comedies|A team of inept border agents tackles immigration issues at the fictional Northend Airport in this improvised mockumentary series.
5107|/title/tt5858892/|TV Show|Hello, My Twenties!|2017|2||8.3|1290||Ye-ri Han, Seung-Yeon Han, Eun-bin Park, Hwa-young Ryu, Hye-soo Park|South Korea| December 18, 2017|TV-14|International TV Shows, Korean TV Shows, Romantic TV Shows|With different personalities, life goals and taste in men, five female college students become housemates in a shared residence called Belle Epoque.
5108|/title/tt0090500/|TV Show|Pee-wee's Playhouse|1990|5||8.0|3885||Paul Reubens|United States| December 18, 2014|TV-PG|Classic & Cult TV, Kids' TV, TV Comedies|Pee-wee Herman brings his stage show to the masses with this innovative live-action kids series that invites viewers into his quirky, childlike world.
5109|/title/tt4254242/|TV Show|The Magicians|2018|3||7.6|38566||Jason Ralph, Arjun Gupta, Hale Appleman, Stella Maeve, Summer Bishil, Olivia Taylor Dudley, Jade Tailor, Rick Worthy, Mackenzie Astin, Kacey Rohl, Charles Mesure, Keegan Connor Tracy, Trevor Einhorn|United States| December 16, 2019|TV-MA|TV Dramas, TV Sci-Fi & Fantasy|When grad student Quentin Coldwater enters a college specializing in magic, he learns that the mythic fantasy world he once read about is very real.
5110|/title/tt1660055/|TV Show|Scooby-Doo!: Mystery Incorporated|2012|2||8.0|7455||Frank Welker, Mindy Cohn, Grey DeLisle, Matthew Lillard, Patrick Warburton, Gary Cole, Frances Conroy, Vivica A. Fox|| December 15, 2019|TV-Y7-FV|Kids' TV|In this animated update of the cartoon classic, Scooby-Doo, Shaggy and their pals solve spooky mysteries in a hamlet bedeviled by supernatural bedlam.
5111|/title/tt0306274/|TV Show|What's New Scooby-Doo?|2005|3||7.2|7070||Frank Welker, Casey Kasem, Mindy Cohn, Grey DeLisle|United States| December 15, 2019|TV-Y7|Kids' TV, TV Comedies|Scooby-Doo and the gang enter the 21st century with this updated edition of the original series with more ghoulish mysteries to solve.
5112|/title/tt2337840/|TV Show|Bad Education|2014|3||7.4|9161||Jack Whitehall, Mathew Horne, Sarah Solemani, Michelle Gomez, Nikki Runeckles, Kae Alexander, Layton Williams, Ethan Lawrence, Charlie Wernham, Jack Binstead, Jack Bence, Harry Enfield|United Kingdom| December 15, 2018|TV-MA|British TV Shows, TV Comedies|A history teacher at the posh Abbey Grove, Alfie Wickers is something truly special: He's his school's, if not England's, single worst educator.
5113|/title/tt5619658/|TV Show|Flowers|2018|2||8.2|3565||Olivia Colman, Julian Barratt, Daniel Rigby, Sophia Di Martino, Leila Hoffman, Will Sharpe, Harriet Walter|United Kingdom| December 15, 2018|TV-MA|British TV Shows, TV Comedies, TV Dramas|Between a troubled marriage, a senile granny and twin siblings constantly in rivalry, a crumbling household struggles to barely keep it together.
5114|/title/tt3069894/|TV Show|Shtisel|2015|2||8.8|1645||Doval'e Glickman, Michael Aloni, Ayelet Zurer, Neta Riskin, Shira Haas, Sarel Piterman, Zohar Shtrauss, Orly Silbersatz Banai, Sasson Gabai, Shlomo Shitrit|Israel| December 15, 2018|TV-PG|International TV Shows, TV Dramas|A Haredi family living in an ultra-Orthodox neighborhood of Jerusalem reckons with love, loss and the doldrums of daily life.
